sex,age_group,state_of_residence,area_type,fp2030_policy_awarenes,barriers_final
Female,18-24,Abia,Rural,Yes,Inadequate funding
Female,18-24,Abia,Rural,Yes,Limited healthcare infrastructure
Female,18-24,Abia,Rural,Yes,Weak political will
Female,18-24,Abia,Rural,Yes,
Female,18-24,Abia,Rural,Yes,Lack of awareness
Female,18-24,Abia,Rural,Yes,Limited healthcare infrastructure
Female,18-24,Abia,Rural,Yes,Weak political will
Female,18-24,Abia,Rural,Yes,
Female,18-24,Abia,Rural,Yes,No idea
Female,18-24,Abia,Rural,Yes,Lack of awareness
Female,18-24,Abia,Rural,Yes,Limited healthcare infrastructure
Female,18-24,Abia,Rural,Yes,Weak political will
Female,18-24,Abia,Rural,Yes,Inadequate funding
Female,18-24,Abia,Rural,Yes,
Female,18-24,Abia,Rural,Yes,Lack of awareness
Female,18-24,Abia,Rural,Yes,Resistance from traditional/religious leaders
Female,18-24,Abia,Rural,Yes,Inadequate funding
Female,18-24,Abia,Rural,Yes,Limited healthcare infrastructure
Female,18-24,Abia,Rural,Yes,Weak political will
Female,18-24,Abia,Rural,Yes,
Female,18-24,Abia,Urban,No,No idea
Female,18-24,Abia,Urban,No,No idea
Female,18-24,Abia,Urban,No,No idea
Female,18-24,Abia,Urban,No,No idea
Female,18-24,Abia,Urban,No,No idea
Female,18-24,Abia,Urban,No,No idea
Female,18-24,Abia,Urban,No,No idea
Female,18-24,Abia,Urban,No,No idea
Female,18-24,Abia,Urban,No,No idea
Female,18-24,Abia,Urban,No,No idea
Female,18-24,Abia,Urban,No,No idea
Female,18-24,Abia,Urban,No,No idea
Female,18-24,Abia,Urban,No,No idea
Female,18-24,Abia,Urban,No,No idea
Female,18-24,Abia,Urban,No,No idea
Female,18-24,Abia,Urban,No,No idea
Female,18-24,Abia,Urban,No,No idea
Female,18-24,Abia,Urban,No,No idea
Female,18-24,Abia,Urban,No,No idea
Female,18-24,Abia,Urban,No,No idea
Female,18-24,Abia,Urban,No,No idea
Female,18-24,Abia,Urban,No,No idea
Female,18-24,Abia,Urban,No,No idea
Female,18-24,Abia,Urban,No,No idea
Female,18-24,Abia,Urban,No,No idea
Female,18-24,Abia,Urban,No,No idea
Female,18-24,Abia,Urban,No,No idea
Female,18-24,Abia,Urban,No,No idea
Female,18-24,Abia,Urban,No,No idea
Female,18-24,Abia,Urban,No,No idea
Female,18-24,Abia,Urban,No,No idea
Female,18-24,Abia,Urban,No,No idea
Female,18-24,Abia,Urban,No,No idea
Female,18-24,Abia,Urban,No,No idea
Female,18-24,Abia,Urban,No,No idea
Female,18-24,Abia,Urban,No,No idea
Female,18-24,Abia,Urban,No,No idea
Female,18-24,Abia,Urban,No,No idea
Female,18-24,Abia,Urban,No,No idea
Female,18-24,Abia,Urban,No,No idea
Female,18-24,Abia,Urban,No,No idea
Female,18-24,Abia,Urban,No,No idea
Female,18-24,Abia,Urban,No,No idea
Female,18-24,Abia,Urban,No,No idea
Female,18-24,Abia,Urban,No,No idea
Female,18-24,Abia,Urban,No,No idea
Female,18-24,Abia,Urban,Yes,Lack of awareness
Female,18-24,Abia,Urban,Yes,Inadequate funding
Female,18-24,Abia,Urban,Yes,Limited healthcare infrastructure
Female,18-24,Abia,Urban,Yes,Weak political will
Female,18-24,Abia,Urban,Yes,
Female,18-24,Abia,Urban,Yes,No idea
Female,18-24,Abia,Urban,Yes,
Female,18-24,Abia,Urban,Yes,Inadequate funding
Female,18-24,Abia,Urban,Yes,Limited healthcare infrastructure
Female,18-24,Abia,Urban,Yes,Weak political will
Female,18-24,Abia,Urban,Yes,
Female,18-24,Abia,Urban,Yes,Lack of awareness
Female,18-24,Abia,Urban,Yes,Inadequate funding
Female,18-24,Abia,Urban,Yes,Limited healthcare infrastructure
Female,18-24,Abia,Urban,Yes,Weak political will
Female,18-24,Abia,Urban,Yes,
Female,18-24,Abia,Urban,Yes,Lack of awareness
Female,18-24,Abia,Urban,Yes,Limited healthcare infrastructure
Female,18-24,Abia,Urban,Yes,Inadequate funding
Female,18-24,Abia,Urban,Yes,Resistance from traditional/religious leaders
Female,18-24,Abia,Urban,Yes,Weak political will
Female,18-24,Abia,Urban,Yes,
Female,18-24,Abia,Urban,Yes,Lack of awareness
Female,18-24,Abia,Urban,Yes,Weak political will
Female,18-24,Abia,Urban,Yes,Limited healthcare infrastructure
Female,18-24,Abia,Urban,Yes,Inadequate funding
Female,18-24,Abia,Urban,Yes,
Female,18-24,Abia,Urban,Yes,Lack of awareness
Female,18-24,Abia,Urban,Yes,Inadequate funding
Female,18-24,Abia,Urban,Yes,Limited healthcare infrastructure
Female,18-24,Abia,Urban,Yes,Weak political will
Female,18-24,Abia,Urban,Yes,
Female,18-24,Abia,Urban,Yes,Lack of awareness
Female,18-24,Abia,Urban,Yes,Limited healthcare infrastructure
Female,18-24,Abia,Urban,Yes,Weak political will
Female,18-24,Abia,Urban,Yes,
Female,18-24,Abia,Urban,Yes,Lack of awareness
Female,18-24,Abia,Urban,Yes,Inadequate funding
Female,18-24,Abia,Urban,Yes,Limited healthcare infrastructure
Female,18-24,Abia,Urban,Yes,Weak political will
Female,18-24,Abia,Urban,Yes,
Female,18-24,Bauchi,Rural,No,No idea
Female,18-24,Bauchi,Rural,No,No idea
Female,18-24,Bauchi,Rural,No,No idea
Female,18-24,Bauchi,Rural,No,No idea
Female,18-24,Bauchi,Rural,No,No idea
Female,18-24,Bauchi,Rural,No,No idea
Female,18-24,Bauchi,Rural,No,No idea
Female,18-24,Bauchi,Rural,No,No idea
Female,18-24,Bauchi,Rural,No,No idea
Female,18-24,Bauchi,Rural,No,No idea
Female,18-24,Bauchi,Rural,No,No idea
Female,18-24,Bauchi,Rural,No,No idea
Female,18-24,Bauchi,Rural,No,No idea
Female,18-24,Bauchi,Rural,No,No idea
Female,18-24,Bauchi,Rural,No,No idea
Female,18-24,Bauchi,Rural,No,No idea
Female,18-24,Bauchi,Rural,No,No idea
Female,18-24,Bauchi,Rural,No,No idea
Female,18-24,Bauchi,Rural,No,No idea
Female,18-24,Bauchi,Rural,Yes,Lack of awareness
Female,18-24,Bauchi,Rural,Yes,
Female,18-24,Bauchi,Rural,Yes,No idea
Female,18-24,Bauchi,Rural,Yes,Lack of awareness
Female,18-24,Bauchi,Rural,Yes,Resistance from traditional/religious leaders
Female,18-24,Bauchi,Rural,Yes,Inadequate funding
Female,18-24,Bauchi,Rural,Yes,Limited healthcare infrastructure
Female,18-24,Bauchi,Rural,Yes,
Female,18-24,Bauchi,Rural,Yes,Inadequate funding
Female,18-24,Bauchi,Rural,Yes,
Female,18-24,Bauchi,Rural,Yes,Lack of awareness
Female,18-24,Bauchi,Rural,Yes,
Female,18-24,Bauchi,Urban,No,No idea
Female,18-24,Bauchi,Urban,No,No idea
Female,18-24,Bauchi,Urban,No,No idea
Female,18-24,Bauchi,Urban,No,No idea
Female,18-24,Bauchi,Urban,No,No idea
Female,18-24,Bauchi,Urban,No,No idea
Female,18-24,Bauchi,Urban,No,No idea
Female,18-24,Bauchi,Urban,No,No idea
Female,18-24,Bauchi,Urban,No,No idea
Female,18-24,Bauchi,Urban,No,No idea
Female,18-24,Bauchi,Urban,No,No idea
Female,18-24,Bauchi,Urban,Yes,No idea
Female,18-24,Bauchi,Urban,Yes,Lack of awareness
Female,18-24,Bauchi,Urban,Yes,Resistance from traditional/religious leaders
Female,18-24,Bauchi,Urban,Yes,Inadequate funding
Female,18-24,Bauchi,Urban,Yes,Limited healthcare infrastructure
Female,18-24,Bauchi,Urban,Yes,Weak political will
Female,18-24,Bauchi,Urban,Yes,Lack of proper investigation and arrest of culprit as the case  may be
Female,18-24,Bauchi,Urban,Yes,
Female,18-24,Bauchi,Urban,Yes,Lack of awareness
Female,18-24,Bauchi,Urban,Yes,Resistance from traditional/religious leaders
Female,18-24,Bauchi,Urban,Yes,Weak political will
Female,18-24,Bauchi,Urban,Yes,Inadequate funding
Female,18-24,Bauchi,Urban,Yes,
Female,18-24,Bauchi,Urban,Yes,Weak political will
Female,18-24,Bauchi,Urban,Yes,
Female,18-24,Bauchi,Urban,Yes,Resistance from traditional/religious leaders
Female,18-24,Bauchi,Urban,Yes,
Female,18-24,Ebonyi,Rural,No,No idea
Female,18-24,Ebonyi,Rural,No,No idea
Female,18-24,Ebonyi,Rural,No,No idea
Female,18-24,Ebonyi,Rural,No,No idea
Female,18-24,Ebonyi,Rural,No,No idea
Female,18-24,Ebonyi,Rural,No,No idea
Female,18-24,Ebonyi,Rural,No,No idea
Female,18-24,Ebonyi,Rural,No,No idea
Female,18-24,Ebonyi,Rural,No,No idea
Female,18-24,Ebonyi,Rural,No,No idea
Female,18-24,Ebonyi,Rural,No,No idea
Female,18-24,Ebonyi,Rural,No,No idea
Female,18-24,Ebonyi,Rural,No,No idea
Female,18-24,Ebonyi,Rural,No,No idea
Female,18-24,Ebonyi,Rural,No,No idea
Female,18-24,Ebonyi,Rural,No,No idea
Female,18-24,Ebonyi,Rural,No,No idea
Female,18-24,Ebonyi,Rural,No,No idea
Female,18-24,Ebonyi,Rural,No,No idea
Female,18-24,Ebonyi,Rural,No,No idea
Female,18-24,Ebonyi,Rural,No,No idea
Female,18-24,Ebonyi,Rural,No,No idea
Female,18-24,Ebonyi,Rural,No,No idea
Female,18-24,Ebonyi,Rural,No,No idea
Female,18-24,Ebonyi,Rural,No,No idea
Female,18-24,Ebonyi,Rural,No,No idea
Female,18-24,Ebonyi,Rural,No,No idea
Female,18-24,Ebonyi,Rural,No,No idea
Female,18-24,Ebonyi,Rural,Yes,Lack of awareness
Female,18-24,Ebonyi,Rural,Yes,Inadequate funding
Female,18-24,Ebonyi,Rural,Yes,Limited healthcare infrastructure
Female,18-24,Ebonyi,Rural,Yes,
Female,18-24,Ebonyi,Rural,Yes,Lack of awareness
Female,18-24,Ebonyi,Rural,Yes,Resistance from traditional/religious leaders
Female,18-24,Ebonyi,Rural,Yes,Inadequate funding
Female,18-24,Ebonyi,Rural,Yes,Limited healthcare infrastructure
Female,18-24,Ebonyi,Rural,Yes,Weak political will
Female,18-24,Ebonyi,Rural,Yes,
Female,18-24,Ebonyi,Rural,Yes,Lack of awareness
Female,18-24,Ebonyi,Rural,Yes,Inadequate funding
Female,18-24,Ebonyi,Rural,Yes,Weak political will
Female,18-24,Ebonyi,Rural,Yes,Limited healthcare infrastructure
Female,18-24,Ebonyi,Rural,Yes,Resistance from traditional/religious leaders
Female,18-24,Ebonyi,Rural,Yes,
Female,18-24,Ebonyi,Rural,Yes,Weak political will
Female,18-24,Ebonyi,Rural,Yes,Inadequate funding
Female,18-24,Ebonyi,Rural,Yes,
Female,18-24,Ebonyi,Rural,Yes,Weak political will
Female,18-24,Ebonyi,Rural,Yes,Inadequate funding
Female,18-24,Ebonyi,Rural,Yes,
Female,18-24,Ebonyi,Rural,Yes,Resistance from traditional/religious leaders
Female,18-24,Ebonyi,Rural,Yes,Lack of awareness
Female,18-24,Ebonyi,Rural,Yes,Inadequate funding
Female,18-24,Ebonyi,Rural,Yes,Limited healthcare infrastructure
Female,18-24,Ebonyi,Rural,Yes,Weak political will
Female,18-24,Ebonyi,Rural,Yes,
Female,18-24,Ebonyi,Rural,Yes,Lack of awareness
Female,18-24,Ebonyi,Rural,Yes,Inadequate funding
Female,18-24,Ebonyi,Rural,Yes,Resistance from traditional/religious leaders
Female,18-24,Ebonyi,Rural,Yes,Limited healthcare infrastructure
Female,18-24,Ebonyi,Rural,Yes,Weak political will
Female,18-24,Ebonyi,Rural,Yes,
Female,18-24,Ebonyi,Rural,Yes,Lack of awareness
Female,18-24,Ebonyi,Rural,Yes,Inadequate funding
Female,18-24,Ebonyi,Rural,Yes,
Female,18-24,Ebonyi,Rural,Yes,Lack of awareness
Female,18-24,Ebonyi,Rural,Yes,Inadequate funding
Female,18-24,Ebonyi,Rural,Yes,Limited healthcare infrastructure
Female,18-24,Ebonyi,Rural,Yes,
Female,18-24,Ebonyi,Rural,Yes,Lack of awareness
Female,18-24,Ebonyi,Rural,Yes,Inadequate funding
Female,18-24,Ebonyi,Rural,Yes,Limited healthcare infrastructure
Female,18-24,Ebonyi,Rural,Yes,
Female,18-24,Ebonyi,Rural,Yes,Lack of awareness
Female,18-24,Ebonyi,Rural,Yes,Inadequate funding
Female,18-24,Ebonyi,Rural,Yes,Limited healthcare infrastructure
Female,18-24,Ebonyi,Rural,Yes,
Female,18-24,Ebonyi,Rural,Yes,Inadequate funding
Female,18-24,Ebonyi,Rural,Yes,Weak political will
Female,18-24,Ebonyi,Rural,Yes,
Female,18-24,Ebonyi,Rural,Yes,Inadequate funding
Female,18-24,Ebonyi,Rural,Yes,
Female,18-24,Ebonyi,Rural,Yes,Lack of awareness
Female,18-24,Ebonyi,Rural,Yes,Resistance from traditional/religious leaders
Female,18-24,Ebonyi,Rural,Yes,Inadequate funding
Female,18-24,Ebonyi,Rural,Yes,Limited healthcare infrastructure
Female,18-24,Ebonyi,Rural,Yes,Weak political will
Female,18-24,Ebonyi,Rural,Yes,
Female,18-24,Ebonyi,Rural,Yes,Lack of awareness
Female,18-24,Ebonyi,Rural,Yes,Resistance from traditional/religious leaders
Female,18-24,Ebonyi,Rural,Yes,Inadequate funding
Female,18-24,Ebonyi,Rural,Yes,Limited healthcare infrastructure
Female,18-24,Ebonyi,Rural,Yes,Weak political will
Female,18-24,Ebonyi,Rural,Yes,
Female,18-24,Ebonyi,Urban,No,No idea
Female,18-24,Ebonyi,Urban,No,No idea
Female,18-24,Ebonyi,Urban,No,No idea
Female,18-24,Ebonyi,Urban,No,No idea
Female,18-24,Ebonyi,Urban,No,No idea
Female,18-24,Ebonyi,Urban,No,No idea
Female,18-24,Ebonyi,Urban,Yes,Lack of awareness
Female,18-24,Ebonyi,Urban,Yes,Inadequate funding
Female,18-24,Ebonyi,Urban,Yes,Victims are more scared to report cases of gb/sgbv
Female,18-24,Ebonyi,Urban,Yes,
Female,18-24,Ebonyi,Urban,Yes,Lack of awareness
Female,18-24,Ebonyi,Urban,Yes,
Female,18-24,Ebonyi,Urban,Yes,Lack of awareness
Female,18-24,Ebonyi,Urban,Yes,
Female,18-24,Ebonyi,Urban,Yes,Lack of awareness
Female,18-24,Ebonyi,Urban,Yes,Resistance from traditional/religious leaders
Female,18-24,Ebonyi,Urban,Yes,Inadequate funding
Female,18-24,Ebonyi,Urban,Yes,Limited healthcare infrastructure
Female,18-24,Ebonyi,Urban,Yes,Weak political will
Female,18-24,Ebonyi,Urban,Yes,
Female,18-24,Ebonyi,Urban,Yes,Weak political will
Female,18-24,Ebonyi,Urban,Yes,Inadequate funding
Female,18-24,Ebonyi,Urban,Yes,
Female,18-24,Ebonyi,Urban,Yes,Lack of awareness
Female,18-24,Ebonyi,Urban,Yes,Resistance from traditional/religious leaders
Female,18-24,Ebonyi,Urban,Yes,Inadequate funding
Female,18-24,Ebonyi,Urban,Yes,Limited healthcare infrastructure
Female,18-24,Ebonyi,Urban,Yes,Weak political will
Female,18-24,Ebonyi,Urban,Yes,
Female,18-24,Ebonyi,Urban,Yes,Lack of awareness
Female,18-24,Ebonyi,Urban,Yes,Inadequate funding
Female,18-24,Ebonyi,Urban,Yes,Limited healthcare infrastructure
Female,18-24,Ebonyi,Urban,Yes,Weak political will
Female,18-24,Ebonyi,Urban,Yes,
Female,18-24,Ebonyi,Urban,Yes,Lack of awareness
Female,18-24,Ebonyi,Urban,Yes,Inadequate funding
Female,18-24,Ebonyi,Urban,Yes,Limited healthcare infrastructure
Female,18-24,Ebonyi,Urban,Yes,Weak political will
Female,18-24,Ebonyi,Urban,Yes,
Female,18-24,Ebonyi,Urban,Yes,Lack of awareness
Female,18-24,Ebonyi,Urban,Yes,Inadequate funding
Female,18-24,Ebonyi,Urban,Yes,Limited healthcare infrastructure
Female,18-24,Ebonyi,Urban,Yes,Weak political will
Female,18-24,Ebonyi,Urban,Yes,
Female,18-24,Enugu,Rural,No,No idea
Female,18-24,Enugu,Rural,No,No idea
Female,18-24,Enugu,Rural,No,No idea
Female,18-24,Enugu,Rural,No,No idea
Female,18-24,Enugu,Rural,No,No idea
Female,18-24,Enugu,Rural,No,No idea
Female,18-24,Enugu,Rural,No,No idea
Female,18-24,Enugu,Rural,No,No idea
Female,18-24,Enugu,Rural,No,No idea
Female,18-24,Enugu,Rural,No,No idea
Female,18-24,Enugu,Rural,No,No idea
Female,18-24,Enugu,Rural,No,No idea
Female,18-24,Enugu,Rural,No,No idea
Female,18-24,Enugu,Rural,Yes,Lack of awareness
Female,18-24,Enugu,Rural,Yes,
Female,18-24,Enugu,Rural,Yes,Lack of awareness
Female,18-24,Enugu,Rural,Yes,
Female,18-24,Enugu,Rural,Yes,Lack of awareness
Female,18-24,Enugu,Rural,Yes,
Female,18-24,Enugu,Rural,Yes,Lack of awareness
Female,18-24,Enugu,Rural,Yes,
Female,18-24,Enugu,Rural,Yes,Lack of awareness
Female,18-24,Enugu,Rural,Yes,
Female,18-24,Enugu,Rural,Yes,Lack of awareness
Female,18-24,Enugu,Rural,Yes,
Female,18-24,Enugu,Rural,Yes,Lack of awareness
Female,18-24,Enugu,Rural,Yes,
Female,18-24,Enugu,Rural,Yes,Lack of awareness
Female,18-24,Enugu,Rural,Yes,
Female,18-24,Enugu,Rural,Yes,Lack of awareness
Female,18-24,Enugu,Rural,Yes,
Female,18-24,Enugu,Rural,Yes,Lack of awareness
Female,18-24,Enugu,Rural,Yes,
Female,18-24,Enugu,Rural,Yes,Lack of awareness
Female,18-24,Enugu,Rural,Yes,
Female,18-24,Enugu,Rural,Yes,Lack of awareness
Female,18-24,Enugu,Rural,Yes,
Female,18-24,Enugu,Rural,Yes,Lack of awareness
Female,18-24,Enugu,Rural,Yes,
Female,18-24,Enugu,Rural,Yes,Lack of awareness
Female,18-24,Enugu,Rural,Yes,
Female,18-24,Enugu,Rural,Yes,Lack of awareness
Female,18-24,Enugu,Rural,Yes,
Female,18-24,Enugu,Rural,Yes,Lack of awareness
Female,18-24,Enugu,Rural,Yes,
Female,18-24,Enugu,Rural,Yes,Lack of awareness
Female,18-24,Enugu,Rural,Yes,
Female,18-24,Enugu,Rural,Yes,Lack of awareness
Female,18-24,Enugu,Rural,Yes,
Female,18-24,Enugu,Rural,Yes,Lack of awareness
Female,18-24,Enugu,Rural,Yes,
Female,18-24,Enugu,Rural,Yes,Lack of awareness
Female,18-24,Enugu,Rural,Yes,
Female,18-24,Enugu,Urban,No,No idea
Female,18-24,Enugu,Urban,No,No idea
Female,18-24,Enugu,Urban,No,No idea
Female,18-24,Enugu,Urban,No,No idea
Female,18-24,Enugu,Urban,No,No idea
Female,18-24,Enugu,Urban,No,No idea
Female,18-24,Enugu,Urban,No,No idea
Female,18-24,Enugu,Urban,No,No idea
Female,18-24,Enugu,Urban,No,No idea
Female,18-24,Enugu,Urban,No,No idea
Female,18-24,Enugu,Urban,No,No idea
Female,18-24,Enugu,Urban,No,No idea
Female,18-24,Enugu,Urban,No,No idea
Female,18-24,Enugu,Urban,No,No idea
Female,18-24,Enugu,Urban,No,No idea
Female,18-24,Enugu,Urban,No,No idea
Female,18-24,Enugu,Urban,No,No idea
Female,18-24,Enugu,Urban,No,No idea
Female,18-24,Enugu,Urban,No,No idea
Female,18-24,Enugu,Urban,No,No idea
Female,18-24,Enugu,Urban,No,No idea
Female,18-24,Enugu,Urban,No,No idea
Female,18-24,Enugu,Urban,No,No idea
Female,18-24,Enugu,Urban,No,No idea
Female,18-24,Enugu,Urban,No,No idea
Female,18-24,Enugu,Urban,No,No idea
Female,18-24,Enugu,Urban,No,No idea
Female,18-24,Enugu,Urban,Yes,Weak political will
Female,18-24,Enugu,Urban,Yes,Inadequate funding
Female,18-24,Enugu,Urban,Yes,Resistance from traditional/religious leaders
Female,18-24,Enugu,Urban,Yes,
Female,18-24,Enugu,Urban,Yes,Lack of awareness
Female,18-24,Enugu,Urban,Yes,
Female,18-24,Enugu,Urban,Yes,Lack of awareness
Female,18-24,Enugu,Urban,Yes,
Female,18-24,Enugu,Urban,Yes,Lack of awareness
Female,18-24,Enugu,Urban,Yes,
Female,18-24,Enugu,Urban,Yes,Lack of awareness
Female,18-24,Enugu,Urban,Yes,
Female,18-24,Enugu,Urban,Yes,Lack of awareness
Female,18-24,Enugu,Urban,Yes,
Female,18-24,Enugu,Urban,Yes,Lack of awareness
Female,18-24,Enugu,Urban,Yes,
Female,18-24,Enugu,Urban,Yes,Resistance from traditional/religious leaders
Female,18-24,Enugu,Urban,Yes,
Female,18-24,Enugu,Urban,Yes,Lack of awareness
Female,18-24,Enugu,Urban,Yes,
Female,18-24,Enugu,Urban,Yes,Lack of awareness
Female,18-24,Enugu,Urban,Yes,Inadequate funding
Female,18-24,Enugu,Urban,Yes,
Female,18-24,Enugu,Urban,Yes,Lack of awareness
Female,18-24,Enugu,Urban,Yes,
Female,18-24,Enugu,Urban,Yes,Lack of awareness
Female,18-24,Enugu,Urban,Yes,
Female,18-24,Enugu,Urban,Yes,Lack of awareness
Female,18-24,Enugu,Urban,Yes,
Female,18-24,Enugu,Urban,Yes,Lack of awareness
Female,18-24,Enugu,Urban,Yes,Resistance from traditional/religious leaders
Female,18-24,Enugu,Urban,Yes,
Female,18-24,Enugu,Urban,Yes,No idea
Female,18-24,Enugu,Urban,Yes,Lack of awareness
Female,18-24,Enugu,Urban,Yes,
Female,18-24,Enugu,Urban,Yes,Lack of awareness
Female,18-24,Enugu,Urban,Yes,Resistance from traditional/religious leaders
Female,18-24,Enugu,Urban,Yes,
Female,18-24,Enugu,Urban,Yes,Lack of awareness
Female,18-24,Enugu,Urban,Yes,
Female,18-24,Enugu,Urban,Yes,Lack of awareness
Female,18-24,Enugu,Urban,Yes,
Female,18-24,Enugu,Urban,Yes,Lack of awareness
Female,18-24,Enugu,Urban,Yes,
Female,18-24,Enugu,Urban,Yes,Lack of awareness
Female,18-24,Enugu,Urban,Yes,
Female,18-24,Enugu,Urban,Yes,Lack of awareness
Female,18-24,Enugu,Urban,Yes,
Female,18-24,Enugu,Urban,Yes,Lack of awareness
Female,18-24,Enugu,Urban,Yes,
Female,18-24,Enugu,Urban,Yes,Lack of awareness
Female,18-24,Enugu,Urban,Yes,
Female,18-24,Enugu,Urban,Yes,Lack of awareness
Female,18-24,Enugu,Urban,Yes,
Female,18-24,Gombe,Rural,No,No idea
Female,18-24,Gombe,Rural,No,No idea
Female,18-24,Gombe,Rural,No,No idea
Female,18-24,Gombe,Rural,No,No idea
Female,18-24,Gombe,Rural,No,No idea
Female,18-24,Gombe,Rural,Yes,Lack of awareness
Female,18-24,Gombe,Rural,Yes,
Female,18-24,Gombe,Rural,Yes,No idea
Female,18-24,Gombe,Rural,Yes,
Female,18-24,Gombe,Urban,No,No idea
Female,18-24,Gombe,Urban,No,No idea
Female,18-24,Gombe,Urban,No,No idea
Female,18-24,Gombe,Urban,No,No idea
Female,18-24,Gombe,Urban,No,No idea
Female,18-24,Gombe,Urban,No,No idea
Female,18-24,Gombe,Urban,No,No idea
Female,18-24,Gombe,Urban,No,No idea
Female,18-24,Gombe,Urban,No,No idea
Female,18-24,Gombe,Urban,No,No idea
Female,18-24,Gombe,Urban,No,No idea
Female,18-24,Gombe,Urban,No,No idea
Female,18-24,Gombe,Urban,No,No idea
Female,18-24,Gombe,Urban,No,No idea
Female,18-24,Gombe,Urban,No,No idea
Female,18-24,Gombe,Urban,No,No idea
Female,18-24,Gombe,Urban,No,No idea
Female,18-24,Gombe,Urban,No,No idea
Female,18-24,Gombe,Urban,No,No idea
Female,18-24,Gombe,Urban,No,No idea
Female,18-24,Gombe,Urban,No,No idea
Female,18-24,Gombe,Urban,No,No idea
Female,18-24,Gombe,Urban,No,No idea
Female,18-24,Gombe,Urban,No,No idea
Female,18-24,Gombe,Urban,No,No idea
Female,18-24,Gombe,Urban,No,No idea
Female,18-24,Gombe,Urban,No,No idea
Female,18-24,Gombe,Urban,No,No idea
Female,18-24,Gombe,Urban,No,No idea
Female,18-24,Gombe,Urban,No,No idea
Female,18-24,Gombe,Urban,No,No idea
Female,18-24,Gombe,Urban,No,No idea
Female,18-24,Gombe,Urban,No,No idea
Female,18-24,Gombe,Urban,No,No idea
Female,18-24,Gombe,Urban,No,No idea
Female,18-24,Gombe,Urban,No,No idea
Female,18-24,Gombe,Urban,No,No idea
Female,18-24,Gombe,Urban,No,No idea
Female,18-24,Gombe,Urban,No,No idea
Female,18-24,Gombe,Urban,No,No idea
Female,18-24,Gombe,Urban,No,No idea
Female,18-24,Gombe,Urban,No,No idea
Female,18-24,Gombe,Urban,No,No idea
Female,18-24,Gombe,Urban,Yes,Lack of awareness
Female,18-24,Gombe,Urban,Yes,Resistance from traditional/religious leaders
Female,18-24,Gombe,Urban,Yes,Inadequate funding
Female,18-24,Gombe,Urban,Yes,Weak political will
Female,18-24,Gombe,Urban,Yes,Limited healthcare infrastructure
Female,18-24,Gombe,Urban,Yes,
Female,18-24,Gombe,Urban,Yes,Lack of awareness
Female,18-24,Gombe,Urban,Yes,Resistance from traditional/religious leaders
Female,18-24,Gombe,Urban,Yes,Limited healthcare infrastructure
Female,18-24,Gombe,Urban,Yes,
Female,18-24,Gombe,Urban,Yes,Lack of awareness
Female,18-24,Gombe,Urban,Yes,Resistance from traditional/religious leaders
Female,18-24,Gombe,Urban,Yes,Inadequate funding
Female,18-24,Gombe,Urban,Yes,Limited healthcare infrastructure
Female,18-24,Gombe,Urban,Yes,
Female,18-24,Gombe,Urban,Yes,Lack of awareness
