Sex,Age-group,State of Residence,Area Type,FP2030 policy awarenes,Barriers to FP2030 implementation
Female,36-45,Ebonyi,Urban,No,No Idea;
Female,25-35,Ebonyi,Urban,No,Lack of awareness;
Male,25-35,Bauchi,Urban,Yes,Lack of awareness;Resistance from traditional/religious leaders;
Female,36-45,Ebonyi,Urban,Yes,Resistance from traditional/religious leaders;
Female,36-45,Ebonyi,Urban,No,No Idea;
Female,46-55,Edo,Urban,Yes,Inadequate funding;Limited healthcare infrastructure;Lack of awareness;Patrichial system which continues to victim blame and pressurize victims to forgive their abusers;
Female,25-35,Kano,Urban,Yes,Resistance from traditional/religious leaders;Limited healthcare infrastructure;
Female,36-45,Abia,Rural,No,Lack of awareness;
Male,25-35,Abia,Rural,No,No Idea;Lack of awareness;Resistance from traditional/religious leaders;Weak political will;
Female,36-45,Abia,Urban,Yes,Lack of awareness;Limited healthcare infrastructure;Weak political will;
Male,36-45,Ebonyi,Urban,Yes,Inadequate funding;
Male,18-24,Kano,Urban,Yes,Lack of awareness;Weak political will;Limited healthcare infrastructure;
Male,25-35,Ekiti,Rural,Yes,Resistance from traditional/religious leaders;Limited healthcare infrastructure;Inadequate funding;Lack of awareness;Weak political will;
Male,25-35,Ekiti,Urban,No,Inadequate funding;
Male,36-45,Ebonyi,Urban,Yes,Lack of awareness;Inadequate funding;Limited healthcare infrastructure;Weak political will;
Male,25-35,Kano,Urban,No,Lack of awareness;No Idea;
Female,25-35,Ebonyi,Urban,Yes,Inadequate funding;Limited healthcare infrastructure;Weak political will;
Male,46-55,Ebonyi,Urban,No,No Idea;
Male,36-45,Ebonyi,Urban,No,No Idea;
Male,36-45,Ebonyi,Urban,Yes,Resistance from traditional/religious leaders;Limited healthcare infrastructure;Inadequate funding;Weak political will;Lack of awareness;
Female,36-45,Abia,Urban,Yes,Lack of awareness;Weak political will;
Female,18-24,Ebonyi,Rural,Yes,Lack of awareness;Inadequate funding;Limited healthcare infrastructure;
Male,25-35,Ebonyi,Urban,Yes,No Idea;Lack of awareness;Resistance from traditional/religious leaders;Inadequate funding;Limited healthcare infrastructure;Weak political will;
Male,25-35,Ebonyi,Rural,Yes,Inadequate funding;Weak political will;Resistance from traditional/religious leaders;
Female,25-35,Ebonyi,Urban,No,Lack of awareness;Inadequate funding;
Male,18-24,Ekiti,Urban,No,No Idea;
Female,46-55,Ebonyi,Rural,Yes,Weak political will;
Male,36-45,Ebonyi,Urban,Yes,Lack of awareness;Inadequate funding;Weak political will;Limited healthcare infrastructure;
Male,36-45,Ebonyi,Urban,No,Lack of awareness;Limited healthcare infrastructure;Weak political will;
Female,18-24,Ebonyi,Rural,Yes,Lack of awareness;Resistance from traditional/religious leaders;Inadequate funding;Limited healthcare infrastructure;Weak political will;
Male,25-35,Ebonyi,Urban,No,Inadequate funding;
Female,25-35,Gombe,Urban,No,Lack of awareness;Limited healthcare infrastructure;Weak political will;
Female,25-35,Ebonyi,Urban,No,Inadequate funding;
Female,46-55,Ebonyi,Urban,Yes,Lack of awareness;
Female,56 and above,Ebonyi,Urban,Yes,Lack of awareness;Inadequate funding;Weak political will;Limited healthcare infrastructure;
Male,36-45,Bauchi,Urban,Yes,Limited healthcare infrastructure;
Female,36-45,Ebonyi,Urban,No,No Idea;Lack of awareness;
Female,18-24,Ebonyi,Urban,No,No Idea;
Male,25-35,Ebonyi,Urban,Yes,Inadequate funding;
Female,36-45,Ebonyi,Rural,Yes,Weak political will;Lack of awareness;Inadequate funding;Limited healthcare infrastructure;
Male,46-55,Abia,Urban,No,Lack of awareness;Inadequate funding;Weak political will;Limited healthcare infrastructure;
Female,18-24,Abia,Urban,Yes,Lack of awareness;Inadequate funding;Limited healthcare infrastructure;Weak political will;
Female,25-35,Bauchi,Rural,Yes,Lack of awareness;Resistance from traditional/religious leaders;Inadequate funding;Limited healthcare infrastructure;Weak political will;
Female,25-35,Gombe,Rural,No,No Idea;
Female,36-45,Bauchi,Urban,Yes,Weak political will;Limited healthcare infrastructure;Inadequate funding;Resistance from traditional/religious leaders;
Female,36-45,Gombe,Urban,Yes,Lack of awareness;Resistance from traditional/religious leaders;Inadequate funding;Limited healthcare infrastructure;
Male,25-35,Gombe,Urban,No,No Idea;Lack of awareness;Resistance from traditional/religious leaders;Inadequate funding;Limited healthcare infrastructure;Weak political will;
Female,46-55,Gombe,Rural,Yes,Lack of awareness;Inadequate funding;Limited healthcare infrastructure;Weak political will;Resistance from traditional/religious leaders;
Male,46-55,Ebonyi,Rural,Yes,Lack of awareness;Resistance from traditional/religious leaders;Inadequate funding;Limited healthcare infrastructure;Weak political will;
Male,25-35,Gombe,Rural,No,No Idea;
Male,36-45,Ebonyi,Urban,Yes,Inadequate funding;
Female,46-55,Ebonyi,Urban,Yes,Limited healthcare infrastructure;
Male,56 and above,Ebonyi,Rural,Yes,Lack of awareness;Weak political will;
Female,18-24,Ebonyi,Urban,No,Lack of awareness;
Female,25-35,Gombe,Urban,Yes,Limited healthcare infrastructure;
Male,36-45,Ekiti,Urban,Yes,Lack of awareness;
Male,36-45,Ekiti,Urban,Yes,Lack of awareness;
Female,25-35,Gombe,Rural,Yes,Weak political will;Resistance from traditional/religious leaders;Inadequate funding;
Male,36-45,Gombe,Urban,Yes,Inadequate funding;Weak political will;non inauguration of the VAPP implementing committee;Lack of awareness;Resistance from traditional/religious leaders;
Female,25-35,Gombe,Urban,Yes,Lack of awareness;Resistance from traditional/religious leaders;Inadequate funding;Limited healthcare infrastructure;Weak political will;
Female,36-45,Ekiti,Urban,Yes,Lack of awareness;Limited healthcare infrastructure;
Male,25-35,Bauchi,Urban,No,No Idea;Lack of awareness;
Male,25-35,Gombe,Rural,Yes,Resistance from traditional/religious leaders;Weak political will;Lack of awareness;Inadequate funding;
Female,36-45,Ekiti,Rural,No,Lack of awareness;
Male,25-35,Edo,Urban,No,Weak political will;
Male,36-45,Ebonyi,Urban,Yes,Lack of awareness;Resistance from traditional/religious leaders;Inadequate funding;Limited healthcare infrastructure;Weak political will;
Male,36-45,Gombe,Urban,Yes,Lack of awareness;Inadequate funding;Limited healthcare infrastructure;
Male,25-35,Ekiti,Urban,Yes,Lack of awareness;Inadequate funding;Limited healthcare infrastructure;Weak political will;
Female,36-45,Gombe,Urban,Yes,Weak political will;Limited healthcare infrastructure;
Female,36-45,Ekiti,Urban,Yes,Lack of awareness;
Male,36-45,Ebonyi,Urban,No,Resistance from traditional/religious leaders;Inadequate funding;Limited healthcare infrastructure;Weak political will;
Male,25-35,Bauchi,Rural,Yes,Inadequate funding;
Female,36-45,Ebonyi,Rural,Yes,Lack of awareness;Limited healthcare infrastructure;
Female,36-45,Ebonyi,Urban,Yes,Lack of awareness;Inadequate funding;Limited healthcare infrastructure;Weak political will;
Male,46-55,Ebonyi,Urban,Yes,Inadequate funding;Resistance from traditional/religious leaders;Limited healthcare infrastructure;Weak political will;
Female,25-35,Ebonyi,Urban,Yes,Resistance from traditional/religious leaders;Inadequate funding;Limited healthcare infrastructure;Weak political will;
Male,56 and above,Ebonyi,Urban,Yes,Lack of awareness;Inadequate funding;Limited healthcare infrastructure;Weak political will;
Female,36-45,Ebonyi,Rural,Yes,Resistance from traditional/religious leaders;
Male,36-45,Ebonyi,Urban,Yes,Lack of awareness;Resistance from traditional/religious leaders;Inadequate funding;Limited healthcare infrastructure;Weak political will;Patriarchy ;
Female,46-55,Ekiti,Urban,Yes,Lack of awareness;Inadequate funding;Limited healthcare infrastructure;Weak political will;Resistance from traditional/religious leaders;
Male,25-35,Ebonyi,Urban,Yes,Inadequate funding;Lack of awareness;Limited healthcare infrastructure;Weak political will;No Idea;
Female,25-35,Ebonyi,Urban,Yes,Lack of awareness;Inadequate funding;Weak political will;
Female,25-35,Gombe,Urban,Yes,Lack of awareness;Resistance from traditional/religious leaders;Weak political will;Limited healthcare infrastructure;
Male,46-55,Bauchi,Rural,No,Lack of awareness;Inadequate funding;
Male,36-45,Ebonyi,Urban,Yes,Limited healthcare infrastructure;Resistance from traditional/religious leaders;Inadequate funding;
Female,56 and above,Ebonyi,Urban,Yes,Lack of awareness;
Male,46-55,Ebonyi,Rural,Yes,Lack of awareness;Inadequate funding;Limited healthcare infrastructure;Weak political will;The pressure for gender equality ;
Male,56 and above,Ebonyi,Urban,Yes,"No Idea;Lack of awareness;Resistance from traditional/religious leaders;Limited healthcare infrastructure;Weak political will;Inadequate funding;Willingness to speak out, and willingness to prosecute matter to logical conclusion. ;"
Male,36-45,Ebonyi,Rural,Yes,Lack of awareness;Resistance from traditional/religious leaders;Inadequate funding;Limited healthcare infrastructure;Weak political will;Fear of unknown on the side of the survivors.;
Female,36-45,Gombe,Rural,Yes,Lack of awareness;Inadequate funding;Limited healthcare infrastructure;
Female,25-35,Bauchi,Urban,No,No Idea;Lack of awareness;Inadequate funding;Limited healthcare infrastructure;
Female,18-24,Ekiti,Urban,No,No Idea;
Female,25-35,Bauchi,Rural,Yes,Lack of awareness;Inadequate funding;Limited healthcare infrastructure;
Female,56 and above,Ebonyi,Rural,No,Lack of awareness;Resistance from traditional/religious leaders;Inadequate funding;Weak political will;Limited healthcare infrastructure;
Male,46-55,Ekiti,Urban,Yes,Limited healthcare infrastructure;Lack of awareness;Inadequate funding;
Female,18-24,Enugu,Urban,Yes,Weak political will;Inadequate funding;Resistance from traditional/religious leaders;
Female,25-35,Ekiti,Urban,Yes,Lack of awareness;
Male,46-55,Ekiti,Urban,Yes,Lack of awareness;Weak political will;
Male,46-55,Ebonyi,Urban,No,Lack of awareness;No Idea;
Male,36-45,Ekiti,Urban,No,Lack of awareness;
Female,36-45,Ekiti,Urban,Yes,Limited healthcare infrastructure;
Male,36-45,Gombe,Rural,Yes,Limited healthcare infrastructure;Lack of awareness;Inadequate funding;Weak political will;
Male,46-55,Bauchi,Rural,No,Lack of awareness;
Male,18-24,Bauchi,Rural,Yes,Lack of awareness;
Male,25-35,Bauchi,Rural,Yes,Lack of awareness;No Idea;Limited healthcare infrastructure;
Female,36-45,Bauchi,Urban,Yes,Lack of awareness;
Female,25-35,Bauchi,Urban,Yes,Lack of awareness;Resistance from traditional/religious leaders;Limited healthcare infrastructure;Weak political will;Inadequate funding;
Female,25-35,Ekiti,Rural,Yes,Lack of awareness;
Male,25-35,Gombe,Urban,Yes,Lack of awareness;
Female,36-45,Ekiti,Rural,No,No Idea;Lack of awareness;
Female,46-55,Ekiti,Rural,No,Lack of awareness;Inadequate funding;Weak political will;
Male,25-35,Ebonyi,Urban,Yes,Resistance from traditional/religious leaders;Inadequate funding;Weak political will;
Male,46-55,Bauchi,Rural,Yes,Lack of awareness;Inadequate funding;Resistance from traditional/religious leaders;Limited healthcare infrastructure;Weak political will;
Female,46-55,Ekiti,Urban,No,Weak political will;
Male,36-45,Bauchi,Rural,Yes,Weak political will;Inadequate funding;Limited healthcare infrastructure;Lack of awareness;
Female,36-45,Bauchi,Rural,Yes,Weak political will;Inadequate funding;Limited healthcare infrastructure;Lack of awareness;
Female,25-35,Bauchi,Rural,Yes,Lack of awareness;Resistance from traditional/religious leaders;Inadequate funding;Limited healthcare infrastructure;Weak political will;
Male,36-45,Ekiti,Rural,No,Lack of awareness;
Female,36-45,Bauchi,Urban,Yes,Lack of awareness;
Male,36-45,Bauchi,Rural,No,No Idea;
Male,18-24,Bauchi,Rural,No,Lack of awareness;Weak political will;Resistance from traditional/religious leaders;Inadequate funding;Limited healthcare infrastructure;
Male,46-55,Ebonyi,Urban,Yes,Inadequate funding;Limited healthcare infrastructure;Resistance from traditional/religious leaders;
Male,46-55,Ekiti,Urban,Yes,Resistance from traditional/religious leaders;
Male,46-55,Bauchi,Rural,No,No Idea;
Male,46-55,Ekiti,Rural,No,No Idea;Lack of awareness;Resistance from traditional/religious leaders;Inadequate funding;Limited healthcare infrastructure;Weak political will;
Male,46-55,Bauchi,Urban,No,Lack of awareness;Inadequate funding;Limited healthcare infrastructure;
Female,18-24,Bauchi,Rural,No,Lack of awareness;
Male,18-24,Bauchi,Urban,Yes,No Idea;Lack of awareness;Resistance from traditional/religious leaders;Inadequate funding;Limited healthcare infrastructure;Weak political will;
Female,36-45,Bauchi,Rural,No,Lack of awareness;Weak political will;
Male,56 and above,Ebonyi,Rural,Yes,Lack of awareness;Weak political will;
Female,36-45,Bauchi,Rural,No,Lack of awareness;Inadequate funding;
Female,25-35,Ekiti,Rural,No,Lack of awareness;Inadequate funding;Limited healthcare infrastructure;Weak political will;
Male,36-45,Ekiti,Urban,No,No Idea;Lack of awareness;Inadequate funding;
Female,25-35,Bauchi,Rural,Yes,No Idea;Lack of awareness;
Female,46-55,Ekiti,Rural,Yes,Lack of awareness;Resistance from traditional/religious leaders;Limited healthcare infrastructure;
Male,36-45,Bauchi,Rural,No,Lack of awareness;
Female,18-24,Bauchi,Rural,Yes,Lack of awareness;
Male,46-55,Ekiti,Urban,Yes,Limited healthcare infrastructure;
Female,25-35,Bauchi,Rural,Yes,Weak political will;
Female,36-45,Bauchi,Rural,No,Lack of awareness;Inadequate funding;Limited healthcare infrastructure;Weak political will;Resistance from traditional/religious leaders;
Female,36-45,Bauchi,Rural,Yes,Lack of awareness;No Idea;Limited healthcare infrastructure;Weak political will;
Male,46-55,Bauchi,Rural,Yes,Lack of awareness;
Female,46-55,Bauchi,Rural,No,Lack of awareness;Inadequate funding;Limited healthcare infrastructure;Weak political will;Resistance from traditional/religious leaders;
Male,36-45,Ekiti,Rural,No,Weak political will;Limited healthcare infrastructure;Inadequate funding;Resistance from traditional/religious leaders;Lack of awareness;No Idea;
Female,36-45,Ekiti,Rural,Yes,Lack of awareness;Limited healthcare infrastructure;
Female,36-45,Bauchi,Rural,Yes,No Idea;Lack of awareness;Resistance from traditional/religious leaders;Inadequate funding;
Male,25-35,Gombe,Rural,Yes,No Idea;Lack of awareness;Resistance from traditional/religious leaders;Inadequate funding;Limited healthcare infrastructure;Weak political will;Ignoring fact;
Male,46-55,Ebonyi,Rural,Yes,Inadequate funding;Limited healthcare infrastructure;Weak political will;
Female,25-35,Abia,Rural,Yes,Lack of awareness;Resistance from traditional/religious leaders;Limited healthcare infrastructure;Inadequate funding;
Female,46-55,Bauchi,Rural,No,Limited healthcare infrastructure;Weak political will;Lack of awareness;
Female,36-45,Bauchi,Rural,Yes,Lack of awareness;Weak political will;
Female,25-35,Edo,Urban,Yes,Lack of awareness;Inadequate funding;Limited healthcare infrastructure;No Idea;
Female,25-35,Abia,Urban,Yes,Lack of awareness;Resistance from traditional/religious leaders;Inadequate funding;Limited healthcare infrastructure;Weak political will;
Male,18-24,Abia,Urban,No,No Idea;Lack of awareness;Inadequate funding;Weak political will;
Male,18-24,Bauchi,Urban,Yes,No Idea;Lack of awareness;Resistance from traditional/religious leaders;Inadequate funding;Limited healthcare infrastructure;Weak political will;
Male,25-35,Bauchi,Rural,No,No Idea;Lack of awareness;Inadequate funding;Limited healthcare infrastructure;Weak political will;
Male,25-35,Bauchi,Urban,No,No Idea;
Female,46-55,Abia,Urban,Yes,Lack of awareness;Inadequate funding;Limited healthcare infrastructure;Weak political will;
Female,25-35,Bauchi,Rural,No,No Idea;
Male,56 and above,Abia,Urban,No,No Idea;Lack of awareness;
Male,25-35,Bauchi,Rural,Yes,Weak political will;
Female,25-35,Bauchi,Urban,No,Lack of awareness;Resistance from traditional/religious leaders;Inadequate funding;Limited healthcare infrastructure;Weak political will;
Female,36-45,Bauchi,Urban,Yes,Lack of awareness;Inadequate funding;Limited healthcare infrastructure;Weak political will;
Female,18-24,Enugu,Urban,No,Lack of awareness;Inadequate funding;Limited healthcare infrastructure;Weak political will;
Female,25-35,Bauchi,Urban,Yes,Lack of awareness;Resistance from traditional/religious leaders;Inadequate funding;Limited healthcare infrastructure;Weak political will;
Female,25-35,Abia,Urban,Yes,No Idea;Resistance from traditional/religious leaders;Lack of awareness;Inadequate funding;Limited healthcare infrastructure;
Female,25-35,Bauchi,Urban,Yes,Lack of awareness;Resistance from traditional/religious leaders;Inadequate funding;Limited healthcare infrastructure;Weak political will;
Female,46-55,Abia,Rural,Yes,Inadequate funding;Limited healthcare infrastructure;Weak political will;
Female,18-24,Kano,Urban,No,No Idea;
Male,25-35,Bauchi,Urban,Yes,Lack of awareness;Resistance from traditional/religious leaders;Inadequate funding;Limited healthcare infrastructure;Weak political will;
Female,36-45,Bauchi,Urban,No,No Idea;
Male,25-35,Bauchi,Urban,No,Lack of awareness;Resistance from traditional/religious leaders;Inadequate funding;Limited healthcare infrastructure;Weak political will;
Female,25-35,Bauchi,Urban,Yes,Lack of awareness;Resistance from traditional/religious leaders;Limited healthcare infrastructure;Weak political will;
Female,36-45,Abia,Rural,No,No Idea;Lack of awareness;
Male,36-45,Bauchi,Urban,No,No Idea;
Male,36-45,Bauchi,Urban,No,Resistance from traditional/religious leaders;
Female,25-35,Bauchi,Urban,Yes,Lack of awareness;Resistance from traditional/religious leaders;Inadequate funding;Limited healthcare infrastructure;
Male,25-35,Bauchi,Urban,Yes,Lack of awareness;Inadequate funding;
Female,25-35,Bauchi,Urban,Yes,Lack of awareness;Resistance from traditional/religious leaders;Inadequate funding;
Male,18-24,Bauchi,Urban,Yes,Limited healthcare infrastructure;Weak political will;
Female,25-35,Bauchi,Urban,No,Lack of awareness;
Male,36-45,Bauchi,Urban,No,Lack of awareness;
Male,36-45,Bauchi,Urban,No,Limited healthcare infrastructure;
Male,25-35,Ebonyi,Urban,Yes,Limited healthcare infrastructure;Lack of awareness;
Male,25-35,Bauchi,Rural,No,Lack of awareness;
Male,25-35,Bauchi,Urban,No,No Idea;
Male,25-35,Bauchi,Rural,No,Lack of awareness;No Idea;Resistance from traditional/religious leaders;Limited healthcare infrastructure;Inadequate funding;
Female,25-35,Bauchi,Rural,Yes,No Idea;Lack of awareness;Resistance from traditional/religious leaders;Inadequate funding;Limited healthcare infrastructure;
Female,18-24,Bauchi,Rural,Yes,No Idea;Lack of awareness;Resistance from traditional/religious leaders;Inadequate funding;Limited healthcare infrastructure;
Female,46-55,Ekiti,Rural,No,No Idea;
Female,36-45,Ekiti,Rural,No,Lack of awareness;Resistance from traditional/religious leaders;Inadequate funding;Limited healthcare infrastructure;
Female,25-35,Bauchi,Rural,Yes,Lack of awareness;Inadequate funding;Limited healthcare infrastructure;Resistance from traditional/religious leaders;Weak political will;
Male,18-24,Ekiti,Urban,Yes,Lack of awareness;Inadequate funding;Ignorance ;
Female,36-45,Bauchi,Urban,No,Lack of awareness;Inadequate funding;
Female,25-35,Bauchi,Urban,Yes,Lack of awareness;Resistance from traditional/religious leaders;
Male,25-35,Bauchi,Rural,No,Lack of awareness;Resistance from traditional/religious leaders;Inadequate funding;Limited healthcare infrastructure;Weak political will;No Idea;
Female,36-45,Bauchi,Rural,No,No Idea;Lack of awareness;Resistance from traditional/religious leaders;Inadequate funding;Limited healthcare infrastructure;Weak political will;
Male,25-35,Gombe,Urban,Yes,No Idea;Lack of awareness;Limited healthcare infrastructure;Weak political will;
Female,46-55,Bauchi,Urban,No,No Idea;Lack of awareness;Resistance from traditional/religious leaders;Inadequate funding;Limited healthcare infrastructure;Weak political will;
Female,36-45,Bauchi,Urban,No,No Idea;
Male,36-45,Bauchi,Urban,Yes,Limited healthcare infrastructure;
Male,25-35,Kano,Urban,No,No Idea;Lack of awareness;Resistance from traditional/religious leaders;Limited healthcare infrastructure;Weak political will;
Male,25-35,Bauchi,Urban,Yes,Resistance from traditional/religious leaders;Limited healthcare infrastructure;Weak political will;
Male,25-35,Gombe,Urban,No,Lack of awareness;
Male,25-35,Gombe,Urban,Yes,Lack of awareness;
Female,25-35,Gombe,Urban,No,No Idea;
Male,18-24,Bauchi,Urban,Yes,Lack of awareness;Inadequate funding;Limited healthcare infrastructure;Weak political will;
Female,18-24,Bauchi,Urban,No,Lack of awareness;No Idea;Resistance from traditional/religious leaders;Inadequate funding;
Male,46-55,Bauchi,Urban,No,No Idea;
Female,25-35,Bauchi,Rural,Yes,No Idea;
Male,18-24,Bauchi,Urban,Yes,Lack of awareness;
Female,18-24,Abia,Rural,Yes,Lack of awareness;Limited healthcare infrastructure;Inadequate funding;Weak political will;
Male,25-35,Bauchi,Urban,No,Lack of awareness;Limited healthcare infrastructure;Weak political will;
Female,25-35,Bauchi,Rural,Yes,No Idea;Lack of awareness;Resistance from traditional/religious leaders;Inadequate funding;Limited healthcare infrastructure;Weak political will;
Male,25-35,Bauchi,Rural,Yes,Weak political will;Limited healthcare infrastructure;Inadequate funding;Resistance from traditional/religious leaders;Lack of awareness;No Idea;
Female,25-35,Gombe,Urban,No,Lack of awareness;Limited healthcare infrastructure;Resistance from traditional/religious leaders;Weak political will;
Male,18-24,Bauchi,Rural,Yes,Lack of awareness;Inadequate funding;Limited healthcare infrastructure;Weak political will;
Male,25-35,Bauchi,Urban,No,Lack of awareness;
Female,25-35,Abia,Rural,No,No Idea;Lack of awareness;Weak political will;
Female,25-35,Bauchi,Rural,No,Lack of awareness;Inadequate funding;
Female,36-45,Kano,Urban,No,No Idea;
Male,25-35,Taraba,Rural,No,No Idea;Lack of awareness;Resistance from traditional/religious leaders;Inadequate funding;Limited healthcare infrastructure;Weak political will;
Female,25-35,Bauchi,Urban,Yes,Lack of awareness;
Female,46-55,Gombe,Urban,Yes,Weak political will;Limited healthcare infrastructure;Inadequate funding;Resistance from traditional/religious leaders;Lack of awareness;No Idea;
Male,25-35,Gombe,Urban,Yes,Weak political will;
Female,18-24,Abia,Urban,Yes,No Idea;
Female,18-24,Ebonyi,Urban,Yes,Lack of awareness;
Female,25-35,Gombe,Urban,No,No Idea;
Female,25-35,Gombe,Rural,No,Inadequate funding;
Female,25-35,Gombe,Urban,No,No Idea;
Female,25-35,Bauchi,Rural,No,No Idea;
Male,36-45,Gombe,Urban,No,No Idea;Lack of awareness;Resistance from traditional/religious leaders;Inadequate funding;Limited healthcare infrastructure;Weak political will;
Male,25-35,Bauchi,Rural,No,Lack of awareness;
